City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,naze,28.3667,129.4833,26.51,79,82,9.05,JP,1696265965
133,ratnapura,6.6828,80.3992,23.41,94,83,1.26,LK,1696266061
135,mahdia,35.5047,11.0622,24.97,64,0,4.46,TN,1696266061
136,northam,51.0333,-4.2167,16.81,98,100,7.78,GB,1696266062
137,acapulco de juarez,16.8634,-99.8901,32.31,59,89,2.34,MX,1696266064
138,vilyuchinsk,52.9306,158.4028,8.85,86,100,11.35,RU,1696266066
139,luimneach,52.6647,-8.6231,15.97,86,93,2.19,IE,1696266066
140,dudinka,69.4058,86.1778,-1.85,96,100,10.28,RU,1696266067
142,nemuro,43.3236,145.575,14.06,69,5,10.12,JP,1696266067
143,svetlyy,54.675,20.1347,17.98,55,100,5.49,RU,1696266068
144,uglegorsk,49.0833,142.0333,13.11,89,100,12.31,RU,1696266069
145,namsos,64.4662,11.4957,11.03,87,75,0.51,NO,1696266070
147,illizi,26.4833,8.4667,34.89,15,27,8.15,DZ,1696265823
148,tougan,13.0667,-3.0667,34.1,40,97,2.66,BF,1696266070
150,paso robles,35.6266,-120.691,19.34,69,0,0.89,US,1696266016
151,tiksi,71.6872,128.8694,-3.02,83,100,3.71,RU,1696266070
153,westport,41.1415,-73.3579,25.65,63,45,2.68,US,1696265942
154,stuttgart,48.7823,9.177,24.78,54,0,1.54,DE,1696265887
155,steinbach,50.1667,8.5667,24.2,61,0,1.03,DE,1696266071
156,vorgashor,67.5833,63.95,4.56,92,100,7.75,RU,1696266071
158,ulsteinvik,62.3432,5.8487,13.75,85,100,4.92,NO,1696266071
159,taunsa,30.7048,70.6505,29.05,13,0,2.39,PK,1696266072
160,tarusa,54.7233,37.1767,13.48,83,38,2.66,RU,1696266072
162,yellowknife,62.456,-114.3525,6.34,100,75,1.03,CA,1696265882
163,hamilton,39.1834,-84.5333,29.03,52,0,0.89,US,1696265986
166,iskateley,67.6803,53.1512,3.9,78,98,9.39,RU,1696266073
167,isafjordur,66.0755,-23.124,4.02,70,75,6.17,IS,1696266073
169,nova sintra,14.8667,-24.7167,24.07,78,81,1.91,CV,1696266073
170,kristiansund,63.1115,7.732,11.03,87,75,0.0,NO,1696266073
171,vilyuysk,63.7553,121.6247,1.11,75,100,1.79,RU,1696266073
172,badger,64.8,-147.5333,1.1,94,100,1.54,US,1696266073
173,betio village,1.358,172.9211,29.02,74,10,3.02,KI,1696266074
174,vyazemskiy,47.5378,134.7525,7.74,88,99,2.33,RU,1696266074
175,lerma,42.0261,-3.7598,30.31,16,12,4.38,ES,1696266074
176,daloa,6.8774,-6.4502,26.63,89,71,1.17,CI,1696266074
177,west bay,19.3667,-81.4167,32.22,74,20,4.12,KY,1696266074
178,aasiaat,68.7098,-52.8699,-2.75,60,1,5.9,GL,1696266074
180,fuglafjordur,62.244,-6.814,10.26,84,99,10.02,FO,1696266074
181,olonkinbyen,70.9221,-8.7187,2.92,88,100,8.47,SJ,1696266075
182,wulingyuan,29.3494,110.5441,17.26,96,100,1.75,CN,1696266075
183,neftekumsk,44.6667,44.9167,19.82,49,100,3.36,RU,1696266075
184,rongelap,11.1635,166.8941,28.56,79,100,5.44,MH,1696266075
185,ndele,8.4109,20.6473,22.17,97,100,1.92,CF,1696266075
186,at taj,24.2049,23.2857,27.91,28,98,5.19,LY,1696266075
187,middleburg,30.0689,-81.8604,29.14,68,46,0.89,US,1696266005
188,weinan,34.5036,109.5089,13.82,91,75,1.49,CN,1696266076
189,lhasa,29.65,91.1,14.75,59,74,2.15,CN,1696266076
190,teguise,29.0605,-13.564,24.12,83,0,6.17,ES,1696266076
192,horta,38.5333,-28.6333,21.8,67,20,5.14,PT,1696266076
193,alo,7.4178,6.7371,27.56,83,99,1.21,NG,1696266076
194,calatayud,41.3535,-1.6432,29.05,30,100,1.94,ES,1696266076
196,arhavi,41.3492,41.3069,17.95,88,100,5.19,TR,1696266077
199,keflavik,64.0049,-22.5624,8.95,76,75,11.32,IS,1696266077
201,tosno,59.54,30.8775,11.8,85,97,1.53,RU,1696266078
202,kattivakkam,13.2167,80.3167,30.05,84,100,4.61,IN,1696266078
205,katsuren-haebaru,26.3369,127.8719,28.21,94,100,6.69,JP,1696266078
206,bykovo,55.6361,38.0803,12.92,77,75,0.0,RU,1696266078
207,navolato,24.7672,-107.6944,34.15,52,15,0.52,MX,1696266079
209,ca mau,9.1769,105.15,24.18,96,100,2.79,VN,1696266079
211,marsh harbour,26.5412,-77.0636,27.12,70,100,9.15,BS,1696266006
213,whitehorse,60.7161,-135.0538,4.43,86,40,6.17,CA,1696266076
214,dazhou,31.2159,107.5009,18.1,89,100,2.38,CN,1696266080
215,kingston,17.997,-76.7936,34.58,64,20,1.54,JM,1696265972
216,kamen'-na-obi,53.7884,81.3423,4.89,50,3,1.4,RU,1696266080
219,sungai raya,0.7,108.9,26.25,84,95,3.42,ID,1696266081
220,vila franca do campo,37.7167,-25.4333,23.23,99,100,4.95,PT,1696266081
221,bubaque,11.2833,-15.8333,29.48,71,100,2.31,GW,1696266081
222,mirny,62.5353,113.9611,-4.31,85,51,1.79,RU,1696266081
225,staraya russa,57.9944,31.3608,11.1,72,80,1.95,RU,1696266082
228,yuzhno-kurilsk,44.0306,145.8556,14.65,74,15,4.4,RU,1696266082
229,pikeville,37.4793,-82.5188,29.06,55,0,0.0,US,1696266004
230,sultanah,24.4926,39.5857,39.25,8,20,4.12,SA,1696266082
231,smithers,54.7804,-127.1743,7.18,100,100,1.54,CA,1696266051
232,bayside,40.8424,-124.0637,12.34,89,0,0.0,US,1696265838
233,nar'yan-mar,67.6713,53.087,3.95,78,97,9.39,RU,1696266083
234,heroica caborca,30.7167,-112.15,23.53,47,0,3.62,MX,1696266083
236,ust'-ilimsk,58.0006,102.6619,1.91,71,97,4.47,RU,1696266083
237,guiuan,11.0333,125.7247,28.93,78,99,6.07,PH,1696266083
238,klyuchi,52.2667,79.1667,6.58,47,2,3.25,RU,1696266083
241,aljezur,37.3191,-8.8033,23.35,66,38,2.9,PT,1696266084
242,kapa'a,22.0752,-159.319,21.72,83,7,3.32,US,1696266084
244,taoudenni,22.6783,-3.9836,42.08,10,80,0.99,ML,1696266084
245,rouissat,31.9243,5.3502,31.04,29,0,6.17,DZ,1696266085
246,basco,20.4487,121.9702,28.06,80,100,14.88,PH,1696266085
249,homer,59.6425,-151.5483,7.94,83,100,1.54,US,1696266009
250,colonia,50.9333,6.95,25.46,56,0,2.57,DE,1696266004
251,atherton,53.5237,-2.4935,13.75,92,100,0.89,GB,1696266086
253,san pablo villa de mitla,16.9167,-96.4,24.76,53,50,1.65,MX,1696266086
254,silver city,32.7701,-108.2803,23.98,50,0,4.02,US,1696266076
255,rouyn-noranda,48.2398,-79.0288,20.05,77,75,5.66,CA,1696266002
257,kodiak,57.79,-152.4072,6.33,81,67,5.15,US,1696266086
258,hobyo,5.3505,48.5268,26.04,86,10,9.02,SO,1696266087
259,ponta delgada,37.7333,-25.6667,23.4,60,20,6.17,PT,1696266087
261,piti village,13.4626,144.6933,26.49,87,20,4.12,GU,1696266087
263,wolgast,54.05,13.7667,22.01,100,100,2.46,DE,1696266087
264,colonia rincon viejo,16.9,-95.05,30.98,60,74,4.97,MX,1696266088
265,canmore,51.0834,-115.3521,8.15,81,100,2.06,CA,1696266088
267,durango,24.8333,-104.8333,23.0,49,16,2.42,MX,1696266088
268,kapuskasing,49.4169,-82.4331,23.05,78,75,5.14,CA,1696265853
270,williston,48.147,-103.618,14.46,93,100,1.75,US,1696266019
273,traverse city,44.7631,-85.6206,27.22,63,1,6.91,US,1696266004
274,weining,26.85,104.2333,16.53,90,89,1.44,CN,1696266089
275,sittwe,20.15,92.9,25.78,90,99,3.4,MM,1696266089
277,aykhal,66.0,111.5,-7.74,91,46,3.13,RU,1696265980
281,rikaze,29.25,88.8833,13.48,48,67,2.57,CN,1696266090
282,carolina beach,34.0352,-77.8936,28.41,64,0,0.89,US,1696265955
285,vadso,70.0744,29.7487,3.09,70,100,3.6,NO,1696266091
286,luninyets,52.2472,26.8047,12.14,68,38,2.45,BY,1696266091
287,pasighat,28.0667,95.3333,25.39,89,52,1.35,IN,1696266091
288,msaken,35.7292,10.5808,29.11,65,20,3.6,TN,1696266091
289,simanggang,1.2472,111.4528,25.01,88,92,0.0,MY,1696266091
290,ciudad satelite,19.5167,-99.25,21.05,53,48,2.73,MX,1696266091
291,kuanda,56.3161,116.0806,-2.35,70,36,0.58,RU,1696266063
293,barguzin,53.6167,109.6167,0.88,70,49,2.68,RU,1696266092
294,tromso,69.6496,18.957,4.01,81,75,4.63,NO,1696265862
295,loralai,30.3705,68.598,20.27,9,0,3.26,PK,1696266092
296,okhotsk,59.3833,143.3,6.18,77,25,3.12,RU,1696266092
298,bilibino,68.0546,166.4372,-8.57,99,99,1.28,RU,1696266093
299,varanasi,25.3333,83.0,27.05,100,100,2.06,IN,1696266093
300,roma,43.2128,-75.4557,23.84,79,15,1.69,US,1696266093
302,kabin buri,13.9511,101.7177,26.39,95,100,1.66,TH,1696266093
303,kavaratti,10.5669,72.642,28.14,74,100,3.96,IN,1696266094
306,remire-montjoly,4.9167,-52.2667,32.02,62,75,6.17,GF,1696266096
307,aqsay,51.1678,52.995,17.5,44,99,4.24,KZ,1696266097
310,puerto yuca,2.9383,-73.2083,34.96,43,94,0.71,CO,1696266099
311,ha'il,27.5219,41.6907,34.01,18,20,4.12,SA,1696266100
313,alaghsas,17.0187,8.0168,32.94,29,54,6.17,NE,1696266102
314,lerwick,60.1545,-1.1494,13.0,77,24,10.12,GB,1696266103
316,hiratacho,35.4333,132.8167,15.01,68,63,1.45,JP,1696266104
317,rabigh,22.7986,39.0349,29.8,73,0,0.53,SA,1696266105
318,gorey,52.6747,-6.2925,12.54,94,100,2.43,IE,1696266106
320,concepcion del oro,24.6333,-101.4167,21.42,46,0,1.9,MX,1696266108
321,lata,40.1629,-8.3327,27.18,56,0,3.03,PT,1696266109
322,loch garman,52.3342,-6.4575,12.9,95,100,1.34,IE,1696266110
323,kargasok,59.0556,80.8572,7.43,92,27,4.56,RU,1696266112
324,yigo village,13.5361,144.8886,25.62,86,75,5.14,GU,1696266114
325,thunder bay,48.4001,-89.3168,21.99,73,75,2.57,CA,1696265973
326,shakiso,5.75,38.9167,15.4,96,45,1.22,ET,1696266117
328,benghazi,32.1167,20.0667,24.53,61,15,5.69,LY,1696266121
329,selfoss,63.9331,-20.9971,10.02,62,89,5.65,IS,1696266123
331,dalbandin,28.8947,64.4101,26.45,11,0,3.36,PK,1696266126
332,yoichi,43.2039,140.7703,15.31,69,87,10.45,JP,1696266127
333,romano d'ezzelino,45.7964,11.7563,24.41,77,33,1.62,IT,1696266129
334,verkhnyaya pyshma,56.9667,60.5808,13.69,72,100,4.31,RU,1696266130
335,brainerd,46.358,-94.2008,26.01,65,0,7.72,US,1696266131
336,crane,31.3974,-102.3501,27.47,53,53,9.24,US,1696266133
337,trincomalee,8.5711,81.2335,27.77,69,100,7.42,LK,1696266134
338,chibougamau,49.9168,-74.3659,18.79,48,100,6.69,CA,1696266012
341,mrakovo,52.7161,56.6244,11.95,63,100,2.05,RU,1696266137
342,kemijarvi,66.7131,27.4306,5.39,82,100,1.71,FI,1696266138
344,yambio,4.5721,28.3955,20.66,95,98,0.99,SS,1696266140
347,santa elena de uairen,4.6167,-61.1333,31.1,29,94,4.07,VE,1696265956
348,corinto,37.9407,22.9573,22.16,60,3,1.67,GR,1696266143
349,nueva gerona,21.8833,-82.8,30.49,66,16,4.68,CU,1696266144
352,sovetskiy,61.3614,63.5842,12.16,72,45,4.92,RU,1696266147
353,gulnar,36.3415,33.3992,16.83,62,41,0.38,TR,1696266147
355,al bardiyah,31.7561,25.0865,24.32,53,0,5.74,LY,1696266149
356,zapolyarnyy,69.4154,30.8136,2.6,90,99,4.1,RU,1696266150
358,harstad,68.799,16.5293,6.66,98,100,3.58,NO,1696266152
359,la ronge,55.1001,-105.2842,7.14,76,100,4.12,CA,1696266046
360,labytnangi,66.6572,66.4183,8.92,88,69,4.24,RU,1696266154
361,klaksvik,62.2266,-6.589,10.51,84,98,11.4,FO,1696266154
363,howrah,22.5892,88.3103,27.0,89,75,2.57,IN,1696266157
364,fortuna,40.5982,-124.1573,12.59,97,0,0.0,US,1696266158
365,namtsy,62.7161,129.6658,7.81,84,100,0.76,RU,1696266159
367,sandnessjoen,66.0217,12.6316,10.06,87,75,3.6,NO,1696266161
368,praia da vitoria,38.7333,-27.0667,23.2,68,20,5.51,PT,1696266162
369,shitanjing,39.2342,106.3439,14.3,55,1,0.93,CN,1696266163
371,delmar,42.622,-73.8326,25.29,51,20,2.24,US,1696266165
373,velikiy ustyug,60.7644,46.3106,10.94,89,100,4.47,RU,1696266166
374,uttarkashi,30.7333,78.45,18.69,83,5,2.45,IN,1696266167
375,saint-pol-de-leon,48.6833,-3.9833,19.88,82,75,5.66,FR,1696266167
376,birjand,32.8663,59.2211,21.26,12,0,0.0,IR,1696266168
377,katsuura,35.1333,140.3,21.29,61,45,3.13,JP,1696265930
