City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
407,morondava,-20.2833,44.2833,25.38,78,7,5.46,MG,1696195051
408,matamba,-8.9833,33.9667,14.52,53,0,2.54,TZ,1696195051
412,santa cruz,-17.8,-63.1667,32.03,31,23,4.12,BO,1696194901
429,howard springs,-12.497,131.047,24.95,82,47,2.72,AU,1696195055
433,itaituba,-4.2761,-55.9836,37.09,47,98,0.82,BR,1696194846
442,puerto baquerizo moreno,-0.9,-89.6,26.55,69,75,6.17,EC,1696195057
444,antsiranana,-12.2787,49.2917,22.78,89,90,4.7,MG,1696195057
445,san rafael,-34.6177,-68.3301,26.59,17,1,7.15,AR,1696195058
451,ilebo,-4.3167,20.5833,22.6,96,80,0.59,CD,1696195059
452,puerto deseado,-47.7503,-65.8938,10.81,37,100,5.57,AR,1696195059
453,kamina,-8.7386,24.9906,22.22,70,16,1.86,CD,1696195059
455,kirakira,-10.4544,161.9205,27.03,83,97,5.05,SB,1696195059
460,broken hill,-31.95,141.4333,21.19,32,89,6.63,AU,1696195060
463,saldanha,-33.0117,17.9442,13.03,78,0,6.65,ZA,1696195060
464,castelo do piaui,-5.3222,-41.5525,34.28,24,74,3.11,BR,1696195060
468,alvaraes,-3.2208,-64.8042,31.93,36,99,2.62,BR,1696195061
470,le port,-20.9373,55.2919,22.0,77,8,5.51,RE,1696195061
473,tome acu,-2.4189,-48.1522,33.73,39,100,3.2,BR,1696195062
480,safotu,-13.4513,-172.4018,27.3,80,5,11.21,WS,1696195063
481,las heras,-46.5419,-68.9359,13.37,26,100,5.9,AR,1696194862
485,puerto leguizamo,-0.1934,-74.7819,27.0,90,84,1.54,CO,1696195064
486,bukama,-9.2,25.85,27.92,49,26,2.03,CD,1696195064
493,uturoa,-16.7333,-151.4333,25.76,81,21,7.94,PF,1696195065
494,maamba,-17.3667,27.15,26.85,36,24,0.73,ZM,1696195066
498,yamba,-5.9,22.3,23.43,88,87,0.71,CD,1696195066
503,kibakwe,-6.7167,36.3667,19.76,58,0,3.83,TZ,1696195067
506,mahanoro,-19.9,48.8,22.31,92,86,3.45,MG,1696195067
509,chicoana,-25.1009,-65.5331,25.03,26,0,4.75,AR,1696195068
512,geraldton,-28.7667,114.6,16.23,88,75,7.72,AU,1696195069
513,turmalina,-17.2856,-42.73,27.56,39,8,1.73,BR,1696195069
515,luderitz,-26.6481,15.1594,13.21,92,0,5.29,,1696195069
518,sarmiento,-45.5882,-69.07,14.34,29,100,8.73,AR,1696195069
519,mar del plata,-38.0023,-57.5575,13.94,86,20,5.14,AR,1696195053
521,ipora,-16.4419,-51.1178,31.5,38,66,2.59,BR,1696195070
522,maintirano,-18.0667,44.0167,25.62,75,3,3.1,MG,1696195070
523,boca suno,-0.7167,-77.1333,31.77,53,70,1.76,EC,1696195070
527,kiama,-34.6833,150.8667,19.44,73,2,0.89,AU,1696195071
533,jeronimo monteiro,-20.7894,-41.395,26.72,66,52,0.78,BR,1696195072
534,villa gesell,-37.2639,-56.973,10.59,77,4,4.46,AR,1696195072
538,natal,-5.795,-35.2094,26.36,73,20,4.63,BR,1696195073
542,sayan,-11.1361,-77.1933,25.59,56,72,3.5,PE,1696195074
550,camocim,-2.9022,-40.8411,27.4,67,37,8.54,BR,1696194985
551,pesqueira,-8.3578,-36.6964,24.63,52,0,5.2,BR,1696195076
560,general mosconi,-23.1851,-62.303,32.73,21,12,2.66,AR,1696195077
564,lagoa formosa,-18.7786,-46.4075,20.87,90,100,2.99,BR,1696195077
567,kerikeri,-35.2268,173.9474,16.62,85,9,0.89,NZ,1696195078
569,manokwari,-0.8667,134.0833,26.36,78,100,1.58,ID,1696195078
575,sola,-13.8833,167.55,25.37,83,100,7.72,VU,1696195079
578,chonchi,-42.6128,-73.8092,7.84,97,100,0.92,CL,1696195079
582,luanda,-8.8368,13.2343,23.0,88,75,4.12,AO,1696195080
